task_id,model_name,split,label,entry_point,libs,meta_parse_error,classical_loc,classical_cyclomatic_complexity,classical_max_nesting_depth,ast_if_count,ast_for_count,ast_while_count,ast_try_count,ast_except_count,ast_return_count,ast_import_count,ast_has_error_handling,align_lib_coverage,align_missing_libs,align_length_ratio,smell_hardcoded_return_funcs,smell_placeholder_hits,smell_is_very_short,smell_relative_length,logreg_prob,logreg_pred,lgbm_prob,lgbm_pred,rf_prob,rf_pred
BigCodeBench/106,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'sklearn']",0,32,6,1,3,1,0,0,0,1,3,0,1.0,0,3.2409,0,0,0,1.3333,0.3103020103731151,0,0.4020210234456717,0,0.4143458031244729,0
BigCodeBench/112,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib']",0,13,3,1,2,0,0,0,0,1,2,0,1.0,0,2.3744,0,0,0,1.0833,0.6487601170895745,1,0.5564335666747461,1,0.5729571053932289,1
BigCodeBench/117,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy', 'random']",0,18,8,1,3,0,0,0,0,1,3,0,1.0,0,2.245,0,0,0,1.0,0.43300757034766546,0,0.4919068909633994,0,0.4748728252190413,0
BigCodeBench/141,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['statistics', 'pandas', 'numpy']",0,16,4,1,1,1,0,0,0,1,3,0,1.0,0,0.5571,0,0,0,1.0667,0.3280991578038792,0,0.548988431181565,1,0.5154094972878126,1
BigCodeBench/157,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'seaborn']",0,16,3,1,2,0,0,0,0,1,4,0,1.0,0,2.3461,0,0,0,1.0667,0.5070443323942886,1,0.3864849368190615,0,0.5272556298296933,1
BigCodeBench/161,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 're']",0,21,4,2,2,1,0,0,0,1,3,0,1.0,0,3.1421,0,0,0,0.913,0.27777299031743796,0,0.3100288634332055,0,0.42630412192736544,0
BigCodeBench/167,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'random', 'matplotlib']",0,12,3,0,0,0,0,0,0,1,3,0,1.0,0,2.2774,0,0,0,1.0,0.5788667795775906,1,0.5857056662324994,1,0.5756979243019679,1
BigCodeBench/177,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['nltk', 'string', 're']",0,15,5,1,1,1,0,0,0,1,4,0,1.0,0,1.1315,0,0,0,0.8824,0.3262915265878877,0,0.24428202346307842,0,0.44919522071016127,0
BigCodeBench/182,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['re', 'sklearn']",0,10,1,0,0,0,0,0,0,1,4,0,1.0,0,2.5188,0,0,0,0.9091,0.5338221289939754,1,0.5123998793744232,1,0.6228931279258051,1
BigCodeBench/189,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['re', 'requests', 'json']",0,15,5,4,1,2,0,1,1,2,3,1,1.0,0,2.2857,0,0,0,1.1538,0.3814729131772675,0,0.39210318057321497,0,0.3177379052728768,0
BigCodeBench/205,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['subprocess', 'multiprocessing']",0,12,3,1,1,0,0,0,0,3,2,0,1.0,0,1.6216,0,0,0,1.0,0.4237169337049501,0,0.2670095371693792,0,0.5270802586308807,1
BigCodeBench/207,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['re', 'requests']",0,7,1,0,0,0,0,0,0,1,3,0,1.0,0,2.5993,0,0,0,0.7,0.5853498525679508,1,0.6144901013640142,1,0.4963252238712488,0
BigCodeBench/212,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['operator', 'numpy', 'matplotlib']",0,13,1,0,0,0,0,0,0,1,3,0,1.0,0,2.443,0,0,0,1.0,0.6446007760056471,1,0.677267107700027,1,0.6024923269154125,1
BigCodeBench/214,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'random', 'cv2']",0,14,2,1,1,0,0,0,0,1,4,0,1.0,0,2.4863,0,0,0,1.0,0.5497538792447266,1,0.6027368381001673,1,0.5480909451716052,1
BigCodeBench/216,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'collections', 'json', 'os']",0,14,3,3,1,1,0,0,0,1,4,0,0.75,1,3.5952,0,0,0,0.875,0.4647715580778378,0,0.5660050174442051,1,0.4638209349274829,0
BigCodeBench/223,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'sklearn']",0,17,4,1,2,1,0,0,0,1,2,0,1.0,0,0.7806,0,0,0,1.0,0.5288357923522204,1,0.619435514370109,1,0.5235686157785213,1
BigCodeBench/266,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['csv', 'collections', 'os']",0,20,5,3,2,2,0,0,0,1,4,0,1.0,0,3.8297,0,0,0,1.0526,0.4148792191895362,0,0.40811865876272524,0,0.34423177340698885,0
BigCodeBench/270,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 're']",0,5,1,0,0,0,0,0,0,1,2,0,1.0,0,1.6347,0,0,0,0.8333,0.5484545652813143,1,0.5514780775123249,1,0.7042479530516953,1
BigCodeBench/275,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['numpy', 'itertools']",0,6,2,1,1,0,0,0,0,1,2,0,1.0,0,1.7871,0,0,0,0.9231,0.691202004456835,1,0.7065268585956791,1,0.6305262677464453,1
BigCodeBench/277,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['math', 'random', 'itertools']",0,15,5,2,2,1,0,0,0,2,3,0,1.0,0,2.4183,0,0,0,1.0,0.525662373741875,1,0.6491407525968637,1,0.4564033294617878,0
BigCodeBench/279,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 'random']",0,7,4,0,0,0,0,0,0,1,2,0,1.0,0,1.6003,0,0,0,0.6364,0.5589929770865357,1,0.6089913289287079,1,0.5193748097526554,1
BigCodeBench/286,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['csv', 'collections', 'os']",0,21,4,4,1,1,0,1,1,2,3,1,1.0,0,3.1136,0,0,0,0.9545,0.2015623911528685,0,0.2222697992558053,0,0.2732260741144211,0
BigCodeBench/287,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['json', 'collections', 'os']",0,15,3,3,1,1,0,0,0,1,3,0,1.0,0,3.5053,0,0,0,1.0,0.5258352806585008,1,0.5164378630290765,1,0.5488914904081571,1
BigCodeBench/290,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['nltk', 'collections', 'os']",0,14,5,3,1,1,0,0,0,1,4,0,1.0,0,2.9075,0,0,0,0.9333,0.37750408726324597,0,0.5120787215598671,1,0.5233927200533445,1
BigCodeBench/296,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,12,2,1,1,0,0,0,0,1,2,0,1.0,0,1.9954,0,0,0,0.9231,0.546343418876725,1,0.5541530403190339,1,0.5469337907269534,1
BigCodeBench/300,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib', 'scipy']",0,17,3,1,1,0,0,0,0,1,3,0,1.0,0,1.9956,0,0,0,1.0,0.4394811185681562,0,0.40993061881785914,0,0.5254152565893545,1
BigCodeBench/301,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['dateutil', 'math', 'numpy', 'pytz']",0,16,1,0,0,0,0,0,0,1,4,0,1.0,0,3.1314,0,0,0,1.1429,0.6203661461852336,1,0.5919773451362593,1,0.5431097934586054,1
BigCodeBench/311,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['random', 'numpy', 'scipy']",0,14,3,2,1,1,0,0,0,1,3,0,1.0,0,2.585,0,0,0,1.0,0.5138620834182807,1,0.3313897162471107,0,0.5461981141273761,1
BigCodeBench/313,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['shutil', 'datetime', 're', 'os']",0,27,7,4,5,1,0,0,0,1,4,0,1.0,0,3.6679,0,0,0,1.2273,0.3613871169866909,0,0.3248329075694786,0,0.34889854200582676,0
BigCodeBench/314,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['http', 'socket', 'ssl']",0,13,1,0,0,0,0,0,0,1,3,0,1.0,0,2.6936,0,0,0,0.9286,0.5242903921418548,1,0.5763984353663815,1,0.5836179501772153,1
BigCodeBench/317,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 're', 'sklearn']",0,11,1,0,0,0,0,0,0,1,3,0,1.0,0,3.2451,0,0,0,1.0,0.5227673708165314,1,0.5483801075354258,1,0.6352587379768884,1
BigCodeBench/323,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'collections', 're', 'sklearn']",0,17,5,1,2,0,0,0,0,1,4,0,1.0,0,1.5636,0,0,0,1.0,0.2946542814697371,0,0.2382077701155893,0,0.4949270794018451,0
BigCodeBench/329,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['json', 're', 'os']",0,16,3,1,1,1,0,0,0,1,4,0,1.0,0,3.1393,0,0,0,1.3333,0.587948929472186,1,0.4237443618823854,0,0.509877194822182,1
BigCodeBench/333,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['random', 'heapq']",0,6,2,0,0,0,0,0,0,1,2,0,1.0,0,2.7271,0,0,0,1.0,0.7090887189462978,1,0.628910503009165,1,0.7531587890140656,1
BigCodeBench/335,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['queue', 'collections', 'random']",0,8,2,0,0,0,0,0,0,1,2,0,0.6667,1,2.0911,0,0,0,0.8889,0.7142790433291979,1,0.757485492840602,1,0.5647566148205806,1
BigCodeBench/339,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['urllib', 'hmac', 'hashlib', 'json']",0,12,2,1,1,0,0,0,0,1,4,0,1.0,0,2.6404,0,0,0,1.0,0.6943725522244766,1,0.7191594725073511,1,0.5773036916427455,1
BigCodeBench/349,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'random']",0,10,2,1,0,1,0,0,0,1,2,0,1.0,0,2.6923,0,0,0,0.8333,0.5090762978820739,1,0.37694199438252446,0,0.47131834416247387,0
BigCodeBench/362,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'os']",0,9,2,1,1,0,0,0,0,1,2,0,1.0,0,2.5433,0,0,0,0.75,0.6513800294484707,1,0.44255666904845664,0,0.4686876857430407,0
BigCodeBench/364,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'sklearn']",0,16,2,1,1,0,0,0,0,1,4,0,1.0,0,2.5331,0,0,0,1.1429,0.7301597616643978,1,0.6553049118358822,1,0.5217160111464941,1
BigCodeBench/369,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['numpy', 'matplotlib', 'scipy']",0,12,1,0,0,0,0,0,0,1,3,0,1.0,0,2.5352,0,0,0,0.8571,0.5931789459364527,1,0.6345153993937134,1,0.598539729828766,1
BigCodeBench/372,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['glob', 'docx', 're']",0,13,3,2,0,2,0,0,0,1,4,0,1.0,0,3.5359,0,0,0,0.9286,0.4416781601322601,0,0.47620360472426,0,0.5370204838297947,1
BigCodeBench/376,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['nltk', 'collections', 're']",0,9,3,0,0,0,0,0,0,1,3,0,1.0,0,2.1329,0,0,0,0.9,0.39489719477757185,0,0.4251232684777357,0,0.5924600406550179,1
BigCodeBench/384,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['collections', 'itertools', 'random']",0,12,2,1,0,1,0,0,0,1,3,0,1.0,0,1.9931,0,0,0,0.9231,0.4035569085143471,0,0.29426412495323473,0,0.5535353352665255,1
BigCodeBench/392,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['numpy', 'matplotlib']",0,15,2,1,1,0,0,0,0,1,3,0,1.0,0,2.8,0,0,0,1.0714,0.5171276292949196,1,0.5352146581671527,1,0.543734086954744,1
BigCodeBench/407,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['csv', 'openpyxl', 'os']",0,14,4,2,1,1,0,0,0,1,3,0,1.0,0,3.187,0,0,0,0.9333,0.4526257062651095,0,0.4489398327332754,0,0.538147314860798,1
BigCodeBench/410,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'datetime', 'os']",0,19,4,2,2,0,0,1,1,1,3,1,1.0,0,3.648,0,0,0,1.0556,0.4080350352961886,0,0.421235917233191,0,0.33068554987658466,0
BigCodeBench/416,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'seaborn']",0,13,5,1,3,0,0,0,0,1,3,0,1.0,0,2.1749,0,0,0,0.8667,0.5029207742249932,1,0.5680529806555388,1,0.48364441114832096,0
BigCodeBench/418,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['tensorflow', 'matplotlib', 'sklearn']",0,27,1,0,0,0,0,0,0,1,5,0,1.0,0,2.8248,0,0,0,1.08,0.43391953289215673,0,0.6391904224368689,1,0.47022796615840823,0
BigCodeBench/432,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['scipy', 'seaborn']",0,12,1,0,0,0,0,0,0,1,4,0,1.0,0,3.3487,0,0,0,0.96,0.5527516635810445,1,0.5161606408709156,1,0.6219719177119046,1
BigCodeBench/437,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pickle', 'os']",0,10,1,0,0,0,0,0,0,1,4,0,1.0,0,3.6497,0,0,0,1.0,0.6367484352475067,1,0.7245231359014216,1,0.6457708235522078,1
BigCodeBench/440,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy', 'sklearn']",0,14,3,1,1,0,0,0,0,1,3,0,1.0,0,2.6782,0,0,0,1.0769,0.4795235448999313,0,0.5048828546673848,1,0.5488464179230366,1
BigCodeBench/442,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'matplotlib', 'sklearn']",0,17,2,1,1,0,0,0,0,1,3,0,1.0,0,2.9904,0,0,0,1.0,0.5297926517519136,1,0.26412404387097194,0,0.5288315802712799,1
BigCodeBench/450,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['matplotlib', 'scipy', 'sklearn']",0,16,2,1,1,0,0,0,0,2,3,0,1.0,0,2.4656,0,0,0,0.8889,0.5755490697741006,1,0.5699849717553018,1,0.4032049792200404,0
BigCodeBench/451,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['sklearn', 'numpy', 'matplotlib', 'seaborn']",0,15,3,1,2,0,0,0,0,1,4,0,1.0,0,2.7345,0,0,0,0.8824,0.6597461661840911,1,0.5276799007565581,1,0.4826974972264758,0
BigCodeBench/452,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['numpy', 'sklearn']",0,13,1,0,0,0,0,0,0,1,5,0,1.0,0,2.6733,0,0,0,0.8667,0.6422533628876061,1,0.5763169754400563,1,0.5532277361798115,1
BigCodeBench/458,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 're', 'json']",0,22,2,4,4,0,0,0,0,6,3,0,1.0,0,1.831,0,0,0,1.0,0.6280935864717976,1,0.4638187601001386,0,0.41032573054434274,0
BigCodeBench/481,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'random', 're']",0,18,3,0,0,0,0,0,0,3,3,0,1.0,0,2.8827,0,0,0,1.2857,0.5202655295803762,1,0.5883426613297156,1,0.4255298520460746,0
BigCodeBench/490,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['xmltodict', 'json']",0,7,1,1,0,0,0,0,0,1,2,0,1.0,0,2.827,0,0,0,1.0,0.804600011940993,1,0.7819283155583048,1,0.7302494721572712,1
BigCodeBench/491,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['datetime', 'random', 'matplotlib']",0,20,7,1,2,1,0,0,0,1,3,0,1.0,0,2.4976,0,0,0,0.8333,0.2961327084265242,0,0.3752800665029139,0,0.33707950894122374,0
BigCodeBench/492,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 'random']",0,25,8,2,3,2,0,0,0,1,3,0,1.0,0,3.5907,0,0,0,1.0,0.247940336457848,0,0.2947099768886726,0,0.37056288906415297,0
BigCodeBench/499,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['io', 'csv', 'xlwt', 'os']",0,14,3,2,0,2,0,0,0,1,4,0,1.0,0,2.9124,0,0,0,1.0,0.42100161398688646,0,0.42379073408529727,0,0.5372269992672339,1
BigCodeBench/507,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'numpy']",0,12,3,1,2,0,0,0,0,2,3,0,1.0,0,3.0067,0,0,0,0.75,0.5007838657750977,1,0.3760066013957813,0,0.4135211134181269,0
BigCodeBench/510,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['difflib', 'gzip']",0,9,1,1,0,0,0,0,0,1,2,0,1.0,0,2.025,0,0,0,1.0,0.6490984827629238,1,0.5781121887220773,1,0.6468432939090119,1
BigCodeBench/521,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'matplotlib']",0,9,1,0,0,0,0,0,0,1,2,0,1.0,0,2.0333,0,0,0,0.75,0.5308385905788476,1,0.4538831138219149,0,0.5286928921809837,1
BigCodeBench/523,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'matplotlib']",0,15,2,1,1,0,0,0,0,2,2,0,1.0,0,2.8712,0,0,0,0.9375,0.5411689244472068,1,0.623361043012175,1,0.4695508670565227,0
BigCodeBench/525,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['collections', 'numpy', 'matplotlib', 'json']",0,21,5,2,0,3,0,0,0,1,4,0,1.0,0,2.2194,0,0,0,0.9333,0.3535334705752291,0,0.3424205994662366,0,0.26466340794041127,0
BigCodeBench/528,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'csv', 'collections', 'matplotlib']",0,18,5,1,1,0,0,0,0,1,4,0,1.0,0,2.4331,0,0,0,0.9474,0.4110101832815719,0,0.44207837449481785,0,0.4560038156788843,0
BigCodeBench/533,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['secrets', 'base64', 'hashlib', 'numpy']",0,22,5,2,1,1,0,1,1,1,4,1,1.0,0,2.7839,0,0,0,1.1579,0.28744365176808045,0,0.3969982740869131,0,0.26436767453277826,0
BigCodeBench/534,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['base64', 'numpy', 'cryptography']",0,27,1,0,0,0,0,0,0,1,6,0,1.0,0,1.6421,0,0,0,1.2273,0.2804767019016729,0,0.3259963157055546,0,0.47124768616471174,0
BigCodeBench/535,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['sqlite3', 'numpy', 'random']",0,32,4,1,2,1,0,0,0,1,3,0,1.0,0,1.3872,0,0,0,1.3333,0.4600984122794661,0,0.7122007527940216,1,0.42501949919283194,0
BigCodeBench/543,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['base64', 'os']",0,7,1,0,0,0,0,0,0,1,2,0,1.0,0,2.2507,0,0,0,0.875,0.6414958302588546,1,0.7234021754073815,1,0.7255992588619324,1
BigCodeBench/549,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'base64']",0,10,1,0,0,0,0,0,0,1,2,0,1.0,0,2.446,0,0,0,1.25,0.6869602164179612,1,0.615091698644567,1,0.6900199005768735,1
BigCodeBench/555,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'numpy', 'matplotlib', 'scipy']",0,14,1,0,0,0,0,0,0,1,4,0,1.0,0,2.3831,0,0,0,1.0,0.5497720739430971,1,0.6845471005062826,1,0.5948020318583622,1
BigCodeBench/560,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'datetime', 'matplotlib']",0,18,2,1,0,1,0,0,0,1,3,0,1.0,0,3.8837,0,0,0,1.2,0.4702426486487994,0,0.4811762759608846,0,0.4711415875624023,0
BigCodeBench/564,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pytz', 'ctypes', 'os', 'datetime']",0,11,1,0,0,0,0,0,0,1,4,0,1.0,0,2.3972,0,0,0,0.6471,0.49092548261579994,0,0.420490682686281,0,0.40494934969412777,0
BigCodeBench/571,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['pandas', 'inspect']",0,26,12,2,3,1,0,1,1,1,3,1,1.0,0,1.093,0,0,0,0.963,0.12576912356330439,0,0.18606900467887913,0,0.2813283818608755,0
BigCodeBench/578,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['unicodedata', 'requests']",0,14,3,2,1,1,0,0,0,1,2,0,1.0,0,1.8498,0,0,0,0.9333,0.5211822949838052,1,0.5000740649540053,1,0.5304524268365669,1
BigCodeBench/606,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'scipy']",0,8,1,0,0,0,0,0,0,1,3,0,1.0,0,3.5271,0,0,0,1.1429,0.6805884060248051,1,0.6303791937020403,1,0.6775328466190254,1
BigCodeBench/617,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['pandas', 'random', 'matplotlib', 're']",0,15,3,1,1,0,0,0,0,1,4,0,1.0,0,2.6886,0,0,0,0.6667,0.2620279806325557,0,0.17334418565196105,0,0.34575408787080275,0
BigCodeBench/621,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['matplotlib', 'numpy', 'itertools', 'sklearn']",0,17,1,0,0,0,0,0,0,1,4,0,1.0,0,2.7206,0,0,0,1.1333,0.544698391839275,1,0.6388765973125964,1,0.5370478787190168,1
BigCodeBench/622,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['matplotlib', 'numpy', 'itertools', 'scipy']",0,13,1,0,0,0,0,0,0,1,4,0,1.0,0,2.6356,0,0,0,0.8125,0.49237009056956565,0,0.5766017181421206,1,0.49708648976913794,0
BigCodeBench/628,DeepSeek_Coder_33B_Instruct,complete,1,task_func,"['math', 'random', 'matplotlib']",0,15,3,0,0,0,0,0,0,1,3,0,1.0,0,2.2953,0,0,0,1.0,0.4967446128714777,0,0.5976485422439813,1,0.5350456081604278,1
BigCodeBench/633,DeepSeek_Coder_33B_Instruct,complete,0,task_func,"['nltk', 're']",0,9,3,0,0,0,0,0,0,1,3,0,1.0,0,2.0971,0,0,0,0.9,0.4307966938147826,0,0.3457070966769422,0,0.5924600406550179,1
